model_name,Size,Notes,simpshort_pot,simpshort_cot,compshort_pot,compshort_cot,simplong_pot,simplong_cot,complong_pot,complong_cot,average_pot,average_cot
GPT-4o,,,84,86,69.5,76.5,56,64,41,36.7,60.8,62.4
GPT-4-Turbo,,,85.5,82.5,80,81,56,53,38.7,38.3,62.9,61.9
Claude-3-Opus,,,80.5,79.5,73.5,77.5,51,61,42,39.7,60.6,61.8
DeepSeek-V2,236B,MoE,87,82,75.5,69.5,61,56,43,39.7,64.4,59.8
Mistral-Large,123B,,85,83.5,76.5,81,56,55,41,31.3,62.8,59.7
Claude-3.5-Sonnet,,,78,77,76,69.5,54,61,44,40,61.8,59.2
Claude-3-Sonnet,,,82.5,80,80.5,73,55,56,40.3,35.3,62.7,58.5
DeepSeek-Coder-V2,236B,Code,85,79,78,66.5,56,54,41,37.7,63.1,57.3
Gemini-1.5-Flash,,,85,78,78.5,69.5,55,46,40,31.7,62.8,54.5
Llama-3.1,70B,,74.5,76.5,68,71,53,50,34.7,29.3,55.3,54.1
Gemini-1.5-Pro,,,85.5,80.5,80,58,58,55,40.3,30,63.7,52.8
Claude-3-Haiku,,,74.5,79,71.5,58.5,55,50,36.7,31.7,57.1,52.5
Qwen2,72B,,26.5,74,24.5,72.5,8,45,7,27,16.4,52.4
GPT-4o-Mini,,,88.5,69.5,77,69.5,53,56,38.7,28,62.5,52.2
Llama-3,70B,,84.5,73.5,64,63.5,52,42,41,28.3,59,50.1
Mixtral-8x22B,141B,MoE,30,74,21.5,57,25,47,14.7,24,21.5,47.6
Gemma-2,9B,,79,66.5,65,54.5,50,39,24.3,17.7,51.4,41.8
DeepSeek-Coder-V2-Lite,16B,Code,66,67.5,51,53.5,27,30,22,20.3,40.9,41.6
WizardLM-2,141B,MoE,62.5,60.5,56.5,55.5,25,34,17.7,18,39.5,40
C4AI Command R+,104B,,35.5,65.5,39,51,19,31,8.7,18.3,24.3,39.9
Yi-1.5,9B,,18,68.5,24.5,56,2,14,4,14,12.4,38.1
Yi-1.5,34B,,0.5,64.5,1,53,0,14,0,15.3,0.4,36.9
Mistral-Nemo,12B,,52.5,59.5,37.5,44,28,37,15.3,16.7,31.7,36.8
Llama-3.1,8B,,62,60,44,42.5,32,33,19,14.3,37.6,35.1
DBRX,132B,MoE,41,57,29.5,43,32,30,12,16.3,26.1,34.9
GPT-3.5-Turbo,,,71,60.5,52.5,39,41,28,28.7,15,46.8,34
Codestral,22B,Code,39,51.5,38.5,41.5,18,23,17.3,13,28.1,31
Llama-3,8B,,49.5,56.5,21.5,31,24,29,10,12.3,24.5,30.1
Qwen2,7B,,13,56,9.5,33,4,31,2.3,10,7,29.9
Mathstral,7B,Math,43.5,55,32.5,35,10,23,11.3,11.7,24.5,29.8
GLM-4,9B,,69.5,44,53.5,34,33,20,17.7,8.7,41.5,25.3
Aya-23,35B,,1.5,44,1,25.5,0,20,0,11.7,0.6,24.3
DeepSeek-V2-Lite,16B,MoE,7,45.5,3.5,18,1,17,1,10.3,3.1,21.9
Mixtral-8x7B-v0.1,46B,MoE,0.5,39,2,17,0,25,0,12.7,0.6,21.9
DeepSeek-Math,7B,Math,2,46,1,27,1,4,0.3,8,1,21.8
Llama-2,70B,,32.5,43.5,16.5,25,1,8,2,7,13.1,20.8
WizardLM-2,7B,,47,42,30.5,28.5,5,6,7.3,5.7,22.7,20.5
Mistral-v0.3,7B,,49.5,40,40.5,28,25,9,11.3,5.7,29.9,20.3
WizardMath,7B,Math,22.5,32,12,22.5,6,7,3.7,3.3,10.8,15.7
InternLM2-Math-Plus,7B,Math,28.5,27.5,15,14,7,9,4.7,4,13.5,13
StarCoder2,15B,Code,47.5,21,34,15.5,11,6,8.3,4.3,24.9,11.5
InternLM2,7B,,18,20,4.5,11,9,10,2.7,2.3,7.8,9.9
Gemma-1,7B,,1,20,0,7.5,0,7,0,3.3,0.2,9
Llama-2,7B,,4,17,4,11.5,0,2,1.3,2.7,2.5,8.4
DeepSeek-Coder-V1,33B,Code,19,18.5,8.5,8.5,2,2,3.7,1.7,8.5,7.6
WizardCoder,33B,Code,32.5,16,17.5,8,5,2,5,1,15,6.6
Aya-23,8B,,1,13,0,9,0,2,0.3,2.3,0.4,6.6
Gemma-1,2B,,4,8,1.5,7.5,0,2,0,0,1.4,4.1